name,funding_total_usd,country_code,city,funding_rounds,first_funding_at,last_funding_at,founded_year,status_class,main_category,funding_total_category
Buena Park Locksmith,,USA,Buena Park,1,1973-04-15,1973-04-15,1974,1,Local Businesses,3
Gluon Networks,50000000.0,USA,Petaluma,1,2002-01-07,2002-01-07,1999,0,Manufacturing,1
Limei Advertising,30000000.0,CHN,Beijing,2,2011-07-01,2012-04-01,2012,1,Advertising,1
LeanKit,24600000.0,USA,Franklin,3,2013-08-12,2015-07-15,2009,1,Collaboration,1
Addepar,65839694.0,USA,Mountain View,3,2011-06-15,2014-05-12,2009,1,Finance,1
Car Advisory Network,6500000.0,USA,Palo Alto,1,2008-03-17,2008-03-17,2012,1,Automotive,1
Medic Vision Brain Technologies,1000000.0,ISR,San Francisco,1,2010-01-08,2010-01-08,2006,1,Biotechnology,0
Process and Plant Sales,,GHA,Tema,1,2013-11-11,2013-11-11,1998,1,Software,3
Einsights,,SGP,Singapore,1,2015-10-15,2015-10-15,2012,1,Business Analytics,3
TOWONA Mobile TV Media Holding,11250000.0,CHN,Beijing,1,2006-11-01,2006-11-01,2003,1,Photography,1
Pinio,,USA,San Francisco,1,2013-09-04,2013-09-04,2014,1,Curated Web,3
Chattermill,,USA,San Francisco,1,2015-06-01,2015-06-01,2012,1,Analytics,3
SuperMama,21189.0,EGY,San Francisco,2,2011-09-05,2012-08-01,2012,1,Lifestyle,0
FangTooth Studios,157500.0,USA,San Francisco,1,2013-05-13,2013-05-13,2012,1,Application Platforms,0
Laurel Mountain Energy,,USA,Pittsburgh,1,2015-01-12,2015-01-12,2012,1,Energy,3
Community Infopoint,29222.0,GBR,San Francisco,1,2009-01-01,2009-01-01,2009,1,Digital Signage,0
Newgen Payments,,IND,New Delhi,1,2015-05-25,2015-05-25,2014,1,Bridging Online and Offline,3
Red Rock Holdings,,USA,Fairfield,1,2013-10-19,2013-10-19,2008,1,Energy,3
SmartPrice.com,4000000.0,USA,Austin,1,2001-07-16,2001-07-16,1999,0,Telecommunications,1
DeluxeBox,20000.0,PER,Lima,1,2013-10-01,2013-10-01,2012,1,Application Platforms,0
GoLive! Mobile,40000.0,USA,Menlo Park,2,2006-08-01,2006-08-01,2006,1,Advertising,0
Naldo,,KOR,Seoul,1,2014-07-16,2014-07-16,2012,1,Apps,3
MEDEM,1689000.0,USA,San Francisco,1,2009-05-08,2009-05-08,1999,1,Health and Wellness,1
Fanatics,695000000.0,USA,Jacksonville,4,2012-06-07,2015-08-25,1995,2,E-Commerce,2
Hey!,200000.0,USA,San Francisco,1,2015-04-28,2015-04-28,2012,0,Apps,0
Exist,,PHL,Pasig,1,2006-12-01,2006-12-01,2001,1,Software,3
Funderbeam,2147583.66907468,EST,Tallinn,5,2013-07-15,2015-10-15,2013,1,Big Data Analytics,1
Strix Systems,19000000.0,USA,Newbury Park,5,2003-10-14,2008-01-01,2012,1,Web Hosting,1
ADP (Automatic Data Processing),2000000.0,USA,Roseland,1,2005-12-30,2005-12-30,1949,2,Business Services,1
SiriusDecisions,,USA,Newington,1,2014-01-08,2014-01-08,2000,1,Curated Web,3
RURALTY International,2300000.0,CAN,Surrey,3,2014-01-06,2015-09-01,2013,1,Real Estate,1
Collaaj,,USA,Santa Clara,1,2012-05-23,2012-05-23,2012,1,Enterprise Software,3
Joognu,100000.0,IND,Ahmedabad,1,2013-01-01,2013-01-01,2011,1,Curated Web,0
PlanetFeedback,6000000.0,USA,Cincinnati,1,1999-12-03,1999-12-03,1999,0,Software,1
PlanetEye,,CAN,Toronto,1,2007-01-01,2007-01-01,2006,1,Travel,3
Skyline Medical Inc.,18101676.0,USA,Eagan,5,2009-11-04,2015-08-27,2002,1,Health Care,1
NuFlick,70000.0,MEX,Mexico City,2,2011-10-15,2013-03-25,2011,0,Games,0
Crayon Data,5338400.0,SGP,Singapore,3,2013-07-01,2014-02-18,2012,1,Analytics,1
Apama Medical,21800000.0,USA,Campbell,3,2010-01-11,2015-01-13,2009,1,Biotechnology,1
Beanup,40000.0,IRL,Dublin,1,2012-03-08,2012-03-08,2011,1,Mobile,0
Pretty Litter,,USA,Los Angeles,1,2015-05-30,2015-05-30,2015,1,Diagnostics,3
Wasatch Wind,1989571.0,USA,Heber City,3,2008-06-09,2011-07-29,2002,1,Clean Technology,1
Allen Technologies,5000000.0,USA,Austin,1,2005-01-13,2005-01-13,2012,1,Hospitality,1
BLUEAVOCADO,200000.0,USA,Austin,1,2015-08-17,2015-08-17,2012,1,Creative,0
McGinley Innovations,1305000.0,USA,Casper,2,2012-10-24,2013-12-23,2012,1,Biotechnology,1
VAWT Manufacturing,1000000.0,USA,Mckinney,1,2011-01-05,2011-01-05,2012,0,Manufacturing,0
LineaQuattro,430110.0,ITA,Castelplanio,1,2009-12-20,2009-12-20,2012,1,Design,0
CastTV,3100000.0,USA,San Francisco,2,2006-01-01,2007-04-25,2006,2,Games,1
Pivto,90000.0,CHL,Santiago,1,2013-04-01,2013-04-01,2013,1,Content,0
Global Online Devices,175000.0,USA,San Francisco,2,2013-06-02,2013-09-18,2012,1,Social Network Media,0
IMANIN,25000.0,USA,San Francisco,1,2012-11-20,2012-11-20,2012,1,Diagnostics,0
Dolores Speech Products,250000.0,USA,Wellesley,1,2015-04-07,2015-04-07,2012,1,Adaptive Equipment,0
Geogoer,29833.0,LTU,San Francisco,1,2010-03-01,2010-03-01,2012,0,Public Transportation,0
PlayEnable,39650.0,GBR,London,1,2012-11-15,2012-11-15,2012,1,E-Commerce,0
writewith,,USA,Corvallis,1,2007-01-01,2007-01-01,2007,0,Music,3
Silicon Jelly,,USA,San Francisco,1,2014-01-01,2014-01-01,2012,0,Software,3
OWLOGUE,283032.0,USA,San Francisco,1,2014-01-14,2014-01-14,2012,1,Internet,0
Alliance Commercial Realty,,USA,York,1,2014-03-08,2014-03-08,2014,1,Real Estate,3
Xcedex,500000.0,USA,Eden Prairie,1,2009-05-04,2009-05-04,2008,0,Cloud Computing,0
GenCell Biosystems,3473820.0,USA,San Francisco,1,2014-01-27,2014-01-27,2011,2,Biotechnology,1
Draft,,USA,San Francisco,1,2011-06-01,2011-06-01,2012,1,Software,3
Graffle,535000.0,USA,New Lenox,1,2011-08-29,2011-08-29,2011,1,Nonprofits,0
Titanium Falcon,,USA,Sunnyvale,1,2015-09-01,2015-09-01,2014,1,Apps,3
LeWa Tek,13954716.0,CHN,Shanghai,4,2011-04-01,2014-10-21,2011,1,Mobile,1
YesVideo,31361000.0,USA,Santa Clara,7,2000-07-01,2012-07-01,1999,1,Curated Web,1
Clip Interactive,8630435.0,USA,Boulder,4,2012-07-25,2015-04-20,2012,1,Software,1
Adchemy,119191000.0,USA,Foster City,7,2005-02-09,2011-09-21,2004,2,Advertising,2
Aquicore,7472500.0,USA,Washington,6,2012-10-13,2015-09-02,2012,1,Energy Efficiency,1
Archetype Partners,,USA,San Francisco,1,2012-02-01,2012-02-01,2012,1,Automotive,3
Aspective,,USA,San Francisco,1,1999-11-01,1999-11-01,2012,0,Software,3
Cloudintelligence,14632.0,USA,San Francisco,1,2014-08-02,2014-08-02,2012,1,Retail,0
Supponor,26201284.3374556,GBR,London,2,2008-08-28,2012-06-08,2012,1,Advertising,1
Blockai,,USA,San Francisco,1,2015-04-30,2015-04-30,2012,1,Software,3
Voicemod S.L.,190558.575293636,ESP,Valencia,3,2015-03-01,2015-06-01,2014,1,Audio,0
Hersha Hospitality Trust,500000000.0,USA,Philadelphia,1,2014-03-10,2014-03-10,1998,0,Hospitality,2
BaseHealth,9059271.0,USA,Redwood City,4,2011-05-03,2015-05-29,2008,1,Biotechnology,1
Molina Healthcare,3114157.0,USA,Long Beach,1,2014-09-09,2014-09-09,1980,2,Health Care,1
Zuma Ventures,100000.0,USA,Santa Monica,1,2014-08-28,2014-08-28,2014,1,Marketplaces,0
Sol Chip,5000000.0,ISR,Haifa,1,2015-08-11,2015-08-11,2009,1,Clean Technology,1
GenoLogics,21988000.0,CAN,Victoria,7,2005-02-03,2013-06-05,2002,2,Biotechnology,1
AdLyft,100000.0,USA,San Francisco,1,2014-10-15,2014-10-15,2012,1,Advertising,0
Cubic Telecom,37125080.0,IRL,Dublin,5,2005-01-01,2015-05-05,2005,1,Mobile,1
Driversiti,8263276.0,USA,Warwick,2,2014-09-24,2014-11-13,2012,1,Computers,1
SiCortex,43105472.0,USA,Maynard,3,2004-09-16,2009-05-13,2012,0,Computers,1
Cubbying,200000.0,KOR,Seoul,1,2013-02-28,2013-02-28,2012,1,Big Data,0
Patton Surgical,,USA,Austin,1,2004-05-01,2004-05-01,2003,2,Software,3
Voxa,3500000.0,USA,Atlanta,2,2014-01-02,2014-10-08,2013,1,Productivity Software,1
Tryum,200000.0,GBR,London,1,2014-08-07,2014-08-07,2012,1,Customer Service,0
Vubooo,250000.0,GBR,London,2,2011-06-01,2013-07-07,2011,1,Consumers,0
Xageek,219619.0,CHN,Xian,1,2010-01-01,2010-01-01,2012,1,Android,0
Honglin Technology Group Limited,10000000.0,CHN,Weihai,2,2008-04-01,2008-10-01,2012,1,Manufacturing,1
OpenWhere,1000000.0,USA,Herndon,1,2014-02-04,2014-02-04,2012,1,Software,0
TestFreaks,5800000.0,SWE,Stockholm,2,2007-05-01,2008-08-01,2006,1,E-Commerce,1
Why Not Give Back,,USA,San Antonio,1,2013-12-31,2013-12-31,2013,1,Advertising,3
CCTV Wireless,66220000.0,USA,Alexandria,1,2007-04-23,2007-04-23,2006,1,Mobile,1
Sparrho,,GBR,San Francisco,2,2012-12-01,2013-07-01,2013,1,Digital Media,3
Weole Energy,2554600.0,FRA,Paris,1,2008-11-24,2008-11-24,2012,1,Clean Technology,1
Tegile Systems,117523823.0,USA,Newark,4,2010-07-01,2015-05-27,2010,1,Data Center Infrastructure,2
Plasso Technology,2800000.0,GBR,London,1,2005-01-21,2005-01-21,2012,1,Property Management,1
Leonardo Biosystems,2500000.0,USA,Houston,2,2010-05-18,2011-11-14,2012,1,Biotechnology,1
Cloakware,14200000.0,USA,Vienna,2,2003-06-27,2005-03-21,1997,2,Software,1
Secret Escapes,72857670.0,GBR,London,3,2011-10-18,2015-07-27,2010,1,Travel,1
Bonial International Group,67500000.0,DEU,Berlin,1,2013-10-28,2013-10-28,2012,1,Location Based Services,1
R-B Acquisition,2500000.0,USA,Skokie,1,2010-02-09,2010-02-09,2012,1,Distributors,1
Lot78,825000.0,GBR,London,1,2013-08-19,2013-08-19,2008,1,Fashion,0
Qik Stay,250000.0,USA,San Francisco,1,2015-10-24,2015-10-24,2015,1,Hospitality,0
Vida Health,5000000.0,USA,San Francisco,1,2014-10-28,2014-10-28,2014,1,Health and Wellness,1
Mobilitus,,USA,Portland,1,2012-10-01,2012-10-01,2012,1,Mobile,3
TerraSky,,JPN,Tokyo,2,2012-10-10,2014-10-09,2012,2,Enterprise Software,3
Activity Rocket,185000.0,USA,Bethesda,2,2012-08-01,2014-09-30,2011,1,Advertising,0
TechnoCom Corporation,2287263.0,USA,Carlsbad,1,2015-10-06,2015-10-06,1995,1,Wireless,1
Grillin In The City,,USA,Sturtevant,1,2013-10-29,2013-10-29,2011,1,Hospitality,3
KAICORE,,CZE,Prague,1,2014-01-10,2014-01-10,2012,1,Software,3
Kliux Energies,625000.0,ESP,Logroño,1,2014-10-01,2014-10-01,2011,1,Clean Technology,0
Mitra Biotech,7111591.0,USA,San Francisco,2,2010-01-01,2013-10-24,2009,1,Biotechnology,1
Siamosoci,1350000.0,ITA,Milan,2,2013-05-28,2013-09-30,2010,1,Finance,1
MyKidsCalendar,110000.0,USA,Long Valley,1,2014-10-22,2014-10-22,2014,1,Software,0
Evolucion Innovations,7577657.0,USA,Seattle,2,2010-04-19,2010-07-08,2012,1,E-Commerce,1
Dizzywood,2000000.0,USA,Lucerne Valley,2,2008-02-07,2008-08-26,2007,1,Games,1
Xerpa,,BRA,São Paulo,1,2015-08-01,2015-08-01,2012,0,Internet,3
Tagwhat,1345389.0,USA,Boulder,1,2014-01-08,2014-01-08,2009,1,Location Based Services,1
ServiceNow,83703892.0,USA,Santa Clara,6,2005-07-05,2012-03-20,2004,2,Enterprise Software,1
Neverware,7576915.0,USA,New York,2,2013-05-20,2014-10-15,2011,1,EdTech,1
Allani,,POL,Cracow,1,2013-06-30,2013-06-30,2012,1,E-Commerce,3
Instaread,,USA,San Francisco,1,2014-09-19,2014-09-19,2012,1,E-Books,3
Cardeeo,2094840.0,USA,Pittsburgh,5,2011-10-20,2015-03-09,2009,1,Software,1
Arthur Gladstone Mineral Exploration,18000.0,CAN,Ottawa,1,2014-04-14,2014-04-14,2014,1,Manufacturing,0
AwesomeHighlighter,,USA,San Francisco,1,2008-08-02,2008-08-02,2012,0,Curated Web,3
Finsecur,31015060.0,USA,San Francisco,1,2014-11-25,2014-11-25,2000,1,Design,1
International Star Inc,,USA,Tucson,1,2015-09-14,2015-09-14,2015,1,Manufacturing,3
YellowDog Media,5750000.0,USA,San Francisco,2,2010-03-01,2010-11-22,2009,0,Curated Web,1
Aquatrols Corporation of America,,USA,Paulsboro,1,2015-05-04,2015-05-04,2012,1,Software,3
Kagera,5000000.0,USA,New York,1,2009-06-09,2009-06-09,2012,1,Software,1
Candy Lab,175000.0,USA,St Louis,3,2013-01-01,2015-03-03,2011,1,Advertising,0
Digital Media Group,,USA,San Francisco,1,2007-01-08,2007-01-08,2012,0,Software,3
Childcare Bridge,100000.0,USA,San Diego,1,2010-06-10,2010-06-10,2012,1,Software,0
"Prism Career Institute, Philadelphia",3000000.0,USA,Philadelphia,1,2007-07-12,2007-07-12,2012,1,Software,1
Bridesandlovers.com,150000.0,USA,St. Petersburg,1,2010-02-01,2010-02-01,2009,1,Online Dating,0
GoPlug,338345.0,USA,Sandy,1,2014-11-14,2014-11-14,2012,1,Consumer Electronics,0
LeanWagon,,USA,Cambridge,1,2013-04-02,2013-04-02,2011,1,Health and Wellness,3
Ultralife,3000000.0,USA,Newark Valley,1,2010-05-04,2010-05-04,1990,2,Health Care,1
BogoDine,60000.0,USA,Grand Rapids,1,2015-06-25,2015-06-25,2013,1,Consumer Goods,0
Proviation,200000.0,GBR,Dunstable,1,2013-05-01,2013-05-01,2008,1,Public Transportation,0
Discoveroom P.C.,558612.0,GBR,Steyning,2,2013-10-09,2014-07-03,2013,1,Hospitality,0
Nature’s Variety,,USA,Saint Louis,1,2014-07-18,2014-07-18,2005,1,Nutrition,3
Benefit Resource,250000.0,USA,Rochester,1,2015-05-22,2015-05-22,1993,1,Health and Wellness,0
Safari Property,,USA,San Francisco,1,2013-10-23,2013-10-23,2012,1,Real Estate,3
ToyTalk,31200000.0,USA,San Francisco,3,2011-10-21,2014-12-09,2011,1,Games,1
Attention Point,25000.0,USA,Roanoke,1,2012-11-13,2012-11-13,2012,1,Biotechnology,0
Apptera,30240000.0,USA,Palo Alto,3,2007-06-19,2010-06-17,2001,2,Advertising,1
JuiceBox Games,2500000.0,USA,San Francisco,1,2014-07-30,2014-07-30,2012,1,Games,1
Supplyhub,1700000.0,USA,Commerce,2,2013-01-18,2014-11-14,2014,1,B2B,1
MediaBrix,11500000.0,USA,New York,4,2011-05-05,2013-10-01,2011,1,Advertising,1
ThreatSTOP,4750000.0,USA,San Francisco,1,2015-09-10,2015-09-10,2009,0,Cloud Computing,1
Globili,135000.0,USA,Cincinnati,1,2012-10-17,2012-10-17,2011,1,Enterprise Software,0
Premier Hotels & Resorts,2200000.0,USA,Pompano Beach,1,2015-06-23,2015-06-23,2010,1,Hotels,1
Smart Device Media,150000.0,USA,San Francisco,1,2011-03-08,2011-03-08,2012,1,Advertising,0
Huoshi,10000000.0,CHN,Guangzhou,1,2006-08-01,2006-08-01,2012,1,Games,1
Nasseo,2341899.0,USA,Peoria,3,2013-02-17,2014-12-08,2012,1,Health Care,1
Western Oncolytics,2775000.0,USA,Westlake,2,2014-06-18,2015-06-04,2012,1,Pharmaceuticals,1
Silicon Cloud,640470.0,SGP,Singapore,2,2013-10-19,2015-06-19,2013,1,Cloud Computing,0
SocialQnect,,USA,San Francisco,1,2013-08-01,2013-08-01,2013,0,Software,3
CellTrust,10500000.0,USA,Scottsdale,1,2014-12-11,2014-12-11,2006,1,Computers,1
OwnEnergy,28800000.0,USA,Brooklyn,3,2008-10-10,2012-09-11,2007,2,Clean Technology,1
Countdown To Buy,1100000.0,USA,Bethel,1,2009-11-16,2009-11-16,2012,1,Real Estate,1
Spacehive,2000000.0,GBR,London,1,2014-11-07,2014-11-07,2012,1,Crowdfunding,1
DNA SEQ,1000000.0,USA,La Jolla,1,2013-05-24,2013-05-24,2013,1,Biotechnology,0
Smync,,USA,Chicago,1,2015-10-23,2015-10-23,2014,1,Big Data Analytics,3
BroadSource,5700000.0,USA,Atlanta,1,2004-07-27,2004-07-27,2012,2,Software,1
Omada Health,76520000.0,USA,San Francisco,6,2011-05-01,2015-09-16,2011,1,EdTech,1
Renticity,25000.0,USA,Seattle,1,2015-06-26,2015-06-26,2011,1,Construction,0
WibiData,23000000.0,USA,San Francisco,3,2010-09-16,2013-05-01,2010,1,Big Data,1
Jetaport,3788905.0,USA,New York,3,2012-06-04,2015-08-11,2012,0,Online Travel,1
YOUR SL,,DEU,Berlin,2,2011-12-19,2014-10-09,2007,1,Information Technology,3
Taxa Common,25000.0,USA,San Francisco,2,2013-01-01,2014-01-01,2012,0,Software,0
OneFold,1050000.0,USA,San Francisco,3,2014-02-05,2014-05-19,2013,1,Analytics,1
IHS Holding,620000000.0,GBR,London,3,2014-03-03,2014-04-17,2001,1,Mobile,2
eCert,8000000.0,USA,San Francisco,1,2010-10-19,2010-10-19,2012,1,Messaging,1
Uranium Energy,20000000.0,USA,Corpus Christi,1,2013-07-31,2013-07-31,2012,0,Clean Technology,1
MineWhat,,USA,San Francisco,3,2012-11-08,2015-04-06,2013,1,Analytics,3
OggiFinogi,2000000.0,USA,Bellevue,1,2010-08-19,2010-08-19,2012,2,Advertising,1
IRX Therapeutics,92440106.0,USA,New York,6,2008-06-04,2015-08-17,2012,1,Biotechnology,1
52masterworks,234705.0,DEU,Munich,3,2015-05-01,2015-05-01,2013,1,Art,0
Vyu Labs Inc,,USA,Cupertino,1,2015-06-24,2015-06-24,2014,1,Internet,3
PYA Analytics,500000.0,USA,Knoxville,1,2014-01-30,2014-01-30,2012,1,Biotechnology,0
Web Geo Services,2590800.0,FRA,Boulogne-billancourt,1,2012-09-20,2012-09-20,2009,1,Retail,1
Spyder Lynk,2930000.0,USA,Denver,4,2011-01-13,2014-08-04,2005,1,Mobile,1
Invistics,7500000.0,USA,Norcross,2,2003-08-29,2005-01-28,1999,1,Consulting,1
Crowdability,1000000.0,USA,New York,1,2014-06-11,2014-06-11,2014,1,Information Services,0
Hostmonster,1262520.0,USA,Provo,6,2009-11-25,2011-01-06,1996,1,Web Hosting,1
Xtone,745616.0,USA,Reston,1,2012-09-14,2012-09-14,2012,1,Mobile,0
Bitbar,3000000.0,FIN,Helsinki,3,2012-03-12,2015-05-21,1995,1,Mobile,1
Halalati,118400.0,DEU,Munich,1,2009-11-01,2009-11-01,2010,1,Advertising,0
Snagajob,41000000.0,USA,Glen Allen,3,2006-07-26,2011-03-10,2000,1,Consulting,1
Sion Power,50000000.0,USA,Tucson,1,2011-12-27,2011-12-27,2012,1,Clean Technology,1
ASIC Engineering Corporation,1000000.0,USA,San Francisco,1,2000-01-01,2000-01-01,2012,0,Engineering Firms,0
Cherry Tree Dental,400000.0,USA,Madison,1,2015-07-14,2015-07-14,2012,1,Medical Professionals,0
Iscopia Software,9533642.38410596,CAN,Montréal,2,2007-03-26,2008-05-12,1993,0,Electronic Health Records,1
Tianma Medical Group,17825845.0,CHN,Suzhou,3,2007-01-01,2013-06-01,2012,1,Biotechnology,1
Everyone Counts,29957650.0,USA,San Diego,6,2009-11-12,2015-09-22,1997,1,Software,1
DASAN Networks,23000000.0,KOR,Seoul,1,2010-08-31,2010-08-31,2012,1,Web Hosting,1
Reach Clothing,,USA,Collinsville,1,2010-08-10,2010-08-10,2010,1,Software,3
ReVera,11200000.0,USA,Santa Clara,1,2005-03-25,2005-03-25,2012,2,Semiconductors,1
TapFood,27666.6196258692,ITA,Udine,2,2015-07-10,2015-11-01,2015,1,Apps,0
Urban Dog City Kitty,,USA,Portland,1,2015-01-07,2015-01-07,2013,1,Software,3
myThings,37000000.0,GBR,London,5,2006-04-01,2012-03-20,2005,1,Accounting,1
APERA BAGS,,USA,Centennial,1,2014-06-18,2014-06-18,2012,1,Sports,3
1SDK,156000.0,USA,San Francisco,2,2013-08-05,2013-09-02,2013,1,Mobile,0
Prodess,,NOR,Oslo,1,2013-01-01,2013-01-01,2012,0,Leisure,3
Verismo Networks,17000000.0,USA,Mountain View,1,2010-11-16,2010-11-16,2003,1,Games,1
Illuminations,9000000.0,USA,Petaluma,1,2002-01-01,2002-01-01,1996,0,Consumer Goods,1
Marquee,15000000.0,USA,San Francisco,1,2006-12-12,2006-12-12,2012,1,Software,1
Fast Asset,,USA,Portsmouth,1,2007-04-19,2007-04-19,1997,1,Hardware + Software,3
Murmur,550000.0,USA,San Francisco,2,2014-02-07,2014-09-14,2012,1,Local,0
Achiever,120000.0,USA,San Francisco,1,2013-12-20,2013-12-20,2013,0,Self Development,0
Brainz Games,2100000.0,COL,Bogotá,3,2010-02-01,2012-01-01,2012,1,Games,1
Tarari,29800000.0,USA,San Diego,3,2002-12-02,2006-02-01,2002,2,Semiconductors,1
L4 Digital (formerly L4 Mobile),,USA,San Francisco,1,2008-12-19,2008-12-19,2008,1,Apps,3
Whisper Communications,394500.0,USA,Atlanta,4,2010-01-01,2011-01-01,2009,1,Messaging,0
Fibocom Wireless,,CHN,Shenzhen,1,2014-10-21,2014-10-21,1999,1,Internet of Things,3
iConText,10000000.0,RUS,Moscow,1,2013-08-21,2013-08-21,2012,0,Ad Targeting,1
Environmental Support Solutions,8000000.0,USA,San Francisco,1,2006-04-12,2006-04-12,1993,2,Software,1
The Digital Marvels,600000.0,USA,New York,1,2012-09-28,2012-09-28,2011,1,Software,0
Mind-NRG,23522600.0,CHE,Geneva,3,2010-10-27,2013-09-04,2010,1,Biotechnology,1
Antix,1869081.0,USA,San Francisco,1,2015-07-21,2015-07-21,2013,1,Apps,1
RefME,5000000.0,GBR,London,1,2015-04-08,2015-04-08,2013,1,EdTech,1
Calligo,2600000.0,USA,San Francisco,1,2012-01-15,2012-01-15,2011,1,Cloud Computing,1
Thirty Labs,3439960.0,USA,New York,2,2014-09-24,2015-02-10,2014,1,Video,1
Inkerwang,1760000.0,CHN,Beijing,1,2008-06-01,2008-06-01,2012,1,E-Commerce,1
InvenSense,38000000.0,USA,San Jose,3,2004-01-01,2008-04-28,2003,2,Semiconductors,1
Hello Mobile Inc.,500000.0,USA,San Francisco,1,2013-02-25,2013-02-25,2012,1,PaaS,0
TreVia Digital Health,116973.0,USA,Overland Park,1,2015-01-07,2015-01-07,2012,1,Health and Wellness,0
Helion Energy,12114202.0,USA,Redmond,2,2014-08-14,2015-07-06,2012,1,Environmental Innovation,1
ePlata,,USA,San Francisco,2,2014-01-10,2015-04-01,2014,0,Finance,3
TaraVela Resort,,USA,Santa Barbara,1,2014-09-26,2014-09-26,2011,1,Hospitality,3
TeamSnap,22577276.0,USA,Boulder,6,2010-06-09,2015-09-16,2009,1,Mobile,1
GolfLAN,,IND,New Delhi,1,2015-03-25,2015-03-25,2013,1,Communities,3
AlleyMag,150000.0,USA,New York,1,2015-01-01,2015-01-01,2015,1,Apps,0
Tagon8,886699.0,BRA,São Paulo,1,2012-10-23,2012-10-23,2011,1,Cloud Computing,0
Played,,USA,San Francisco,1,2011-08-04,2011-08-04,2012,1,Games,3
"LockPath, Inc.",8000000.0,USA,Overland Park,3,2010-04-01,2012-07-16,2010,1,Governance,1
One-Song,20000.0,USA,New York,1,2009-06-01,2009-06-01,2009,0,Music,0
Shandong In spur Huaguang Optoelectronics,,USA,San Francisco,1,2011-11-01,2011-11-01,2012,1,Manufacturing,3
Apprenda,56000000.0,USA,Troy,4,2009-11-09,2015-07-21,2007,1,Cloud Computing,1
IBeiFeng,1000000.0,CHN,Shanghai,1,2014-02-01,2014-02-01,2008,1,Education,0
Socruise,388500.0,GBR,Kent,1,2008-05-01,2008-05-01,2008,1,Curated Web,0
ByeBuy,1100000.0,GBR,London,1,2015-11-03,2015-11-03,2015,1,FinTech,1
InterMed Discovery,9866928.0,DEU,Deutsch,1,2009-01-13,2009-01-13,2006,0,Clean Technology,1
ClarITeam,12160005.0,USA,San Francisco,1,2001-07-09,2001-07-09,2012,1,Information Services,1
Sublime Skinz,5000000.0,FRA,Paris,1,2015-05-26,2015-05-26,2012,1,Advertising,1
Sonicx,,USA,San Francisco,1,2014-11-01,2014-11-01,2012,1,Software,3
WeeWorld,15500000.0,GBR,Glasgow,2,2005-03-01,2006-01-01,1998,1,Entertainment,1
Outernet,,USA,New York,1,2014-02-01,2014-02-01,2014,1,Aerospace,3
Emerald Logic,686000.0,USA,Aliso Viejo,1,2012-10-09,2012-10-09,2011,1,Health Diagnostics,0
Cruiseo,100000.0,GBR,London,1,2015-02-18,2015-02-18,2012,1,Travel & Tourism,0
Moneta,10000.0,USA,San Francisco,1,2015-11-18,2015-11-18,2015,0,Software,0
Adpoints,3274546.0,GBR,London,2,2012-04-01,2013-06-01,2010,1,Advertising,1
Sojo Studios,12000000.0,USA,New York,1,2010-05-10,2010-05-10,2010,1,Charity,1
Quantum Imaging,2424402.0,GBR,Leeds,1,2014-04-08,2014-04-08,2012,1,Hardware + Software,1
Storrz,100000.0,IND,Bangalore,1,2007-01-01,2007-01-01,2007,0,E-Commerce,0
Farseer,100000.0,USA,Waltham,1,2014-04-03,2014-04-03,2013,1,Curated Web,0
Strava,34600000.0,USA,San Francisco,4,2010-10-01,2014-10-29,2009,1,Android,1
New Vision,30461.0336341263,UKR,Zhytomyr,3,2013-01-30,2015-08-01,2013,1,Apps,0
Compass,123000000.0,USA,New York,4,2012-12-16,2015-09-15,2012,1,Curated Web,2
Ascendant Group,,USA,Newark,1,2014-08-07,2014-08-07,2010,1,Public Relations,3
Rocketship Education,3300000.0,USA,Palo Alto,4,2010-12-15,2012-12-15,2006,1,Education,1
RMI,142500.0,USA,Atlanta,1,2009-04-09,2009-04-09,1979,1,Software,0
Verecho Inc.,,USA,Mountain View,1,2015-07-31,2015-07-31,2015,0,Information Technology,3
Pharnext,19941400.0,FRA,Paris,3,2010-06-14,2012-02-09,2007,1,Biotechnology,1
OjOs.com,18000000.0,USA,San Francisco,2,2006-01-12,2007-11-01,2012,1,Search,1
Dodonation,47413.0,KOR,Seoul,1,2014-01-01,2014-01-01,2014,1,Career Management,0
The Skimm,7829577.0,USA,New York,2,2014-04-14,2014-12-16,2012,1,Fashion,1
Meru Cabs,50000000.0,IND,Mumbai,1,2015-03-16,2015-03-16,2012,1,Automotive,1
Granite Properties,73000000.0,USA,Plano,1,2014-01-29,2014-01-29,1991,1,Real Estate,1
The Film Co,95000.0,GBR,London,1,2014-04-23,2014-04-23,2014,1,Video on Demand,0
How do you roll?,1000000.0,USA,Austin,1,2013-07-03,2013-07-03,2012,1,Restaurants,0
Pearl,400000.0,USA,San Francisco,1,2015-04-12,2015-04-12,2012,0,Apps,0
Offerama,,USA,Naples,1,2014-07-22,2014-07-22,2011,1,E-Commerce,3
Regional Markt,183652.0,DEU,Munich,3,2014-06-01,2015-05-01,2012,1,Consumer Goods,0
Cyan,130082104.0,USA,Petaluma,7,2006-09-15,2014-12-23,2006,2,Software,2
Movity,1300000.0,USA,San Francisco,1,2010-09-18,2010-09-18,2009,2,Curated Web,1
TrueDemand Software,16700000.0,USA,Los Gatos,3,2005-08-02,2008-02-27,2004,2,Software,1
Schoology,57100000.0,USA,New York,6,2009-05-22,2015-11-10,2009,1,Education,1
